time,latitude,longitude,depth,mag,wilayah
2008-11-21 05:14:36.965387+00:00,2.6222515,128.87212,195,4.4595958,"Halmahera, Indonesia"
2008-11-21 09:14:11.782574+00:00,-2.9463725,119.78362,10,3.5357812,"Sulawesi, Indonesia"
2008-11-21 11:36:48.289207+00:00,-2.1780534,119.50026,10,4.6127392,"Sulawesi, Indonesia"
2008-11-21 15:37:35.945508+00:00,-4.3954172,102.12586,10,4.4078248,"Southern Sumatra, Indonesia"
2008-11-22 13:39:08.645402+00:00,-2.4735756,100.81345,10,4.2107799,"Southern Sumatra, Indonesia"
2008-11-22 16:01:00.895793+00:00,-4.4551978,101.12991,5,6.4382377,"Southern Sumatra, Indonesia"
2008-11-22 16:11:54.420375+00:00,-4.1683311,101.43063,10,6.1925681,"Southern Sumatra, Indonesia"
2008-11-22 16:53:04.861777+00:00,-9.5320082,112.83602,10,4.7015055,"South of Java, Indonesia"
2008-11-22 17:27:52.472830+00:00,5.0702958,127.50665,10,5.1841386,Philippine Islands Region
2008-11-22 22:05:56.978880+00:00,-4.7304573,101.1042,10,4.8597935,"Southern Sumatra, Indonesia"
2008-11-23 01:53:52.214682+00:00,3.4750326,125.83884,1,4.5609067,"Talaud Islands, Indonesia"
2008-11-23 08:01:24.185751+00:00,2.2927923,124.7268,650,5.1354112,Celebes Sea
2008-11-24 04:19:14.600545+00:00,1.2592666,100.17884,10,4.028629,"Northern Sumatra, Indonesia"
2008-11-24 05:23:53.671586+00:00,-0.43276262,133.40311,10,4.8413888,"Irian Jaya Region, Indonesia"
2008-11-24 05:29:57.066185+00:00,-0.42607912,133.35703,10,4.9015787,"Irian Jaya Region, Indonesia"
2008-11-24 05:38:44.883971+00:00,-0.45812881,133.39796,10,4.9479571,"Irian Jaya Region, Indonesia"
2008-11-24 09:10:49.164247+00:00,1.1027576,125.58245,650,5.6157381,Northern Molucca Sea
2008-11-24 09:39:16.510155+00:00,-4.9993625,115.9901,551,4.9111456,Java Sea
2008-11-25 03:31:03.883467+00:00,1.3513012,121.98148,10,4.5801776,"Minahassa Peninsula, Sulawesi"
2008-11-25 07:01:11.300813+00:00,-7.8504486,108.16053,156,3.8355318,"Java, Indonesia"
2008-11-25 10:33:59.012639+00:00,2.1371942,129.01486,45,4.6350748,"Halmahera, Indonesia"
2008-11-25 14:12:08.517300+00:00,-3.7745667,113.25594,10,6.4013584,Borneo
2008-11-25 17:58:46.945876+00:00,-3.0663199,129.0188,10,4.0640106,"Seram, Indonesia"
2008-11-25 19:20:53.860901+00:00,-7.1235132,129.51355,128,4.6999186,Banda Sea
2008-11-26 00:43:37.600907+00:00,-5.3087907,131.6778,60,4.7262982,Banda Sea
2008-11-26 04:08:37.920198+00:00,1.0481306,123.6442,428,4.9429346,"Minahassa Peninsula, Sulawesi"
2008-11-26 05:25:24.308862+00:00,-5.8909054,106.7207,267,4.7310484,"Java, Indonesia"
2008-11-26 23:26:42.389765+00:00,5.294786,129.26978,10,5.2362017,East of Philippine Islands
2008-11-27 01:42:05.299955+00:00,1.935052,128.09697,127,4.6329714,"Halmahera, Indonesia"
2008-11-27 01:48:06.931130+00:00,0.46440145,122.48524,67,4.1095172,"Minahassa Peninsula, Sulawesi"
2008-11-27 03:58:45.564673+00:00,-7.7968016,106.90245,21,4.2639975,"Java, Indonesia"
2008-11-27 09:24:35.286598+00:00,-0.89927071,103.44462,61,4.0938639,"Southern Sumatra, Indonesia"
2008-11-27 09:28:38.356203+00:00,-0.25513184,123.40691,78,4.6743271,"Minahassa Peninsula, Sulawesi"
2008-11-27 17:40:36.831043+00:00,-9.3730011,108.11932,354,3.8620498,"South of Java, Indonesia"
2008-11-27 20:43:46.686883+00:00,-7.2515039,126.64513,441,4.9246798,Banda Sea
2008-11-28 03:33:16.553458+00:00,-4.4661393,126.37613,10,6.0350516,Banda Sea
2008-11-28 08:50:46.779396+00:00,-4.9121499,101.49804,11,5.8711438,"Southern Sumatra, Indonesia"
2008-11-28 12:56:44.905344+00:00,0.036431108,119.64106,10,4.890623,"Minahassa Peninsula, Sulawesi"
2008-11-28 14:00:35.801151+00:00,-8.458662,111.65299,91,4.5123015,"Java, Indonesia"
2008-11-29 00:41:34.749360+00:00,1.7973018,98.958733,5,4.0358264,"Northern Sumatra, Indonesia"
2008-11-29 02:52:58.271440+00:00,-8.8519659,116.94419,5,3.8957462,"Sumbawa Region, Indonesia"
2008-11-29 06:06:12.347083+00:00,3.2472587,124.26935,450,5.362189,Celebes Sea
2008-11-29 16:24:15.420367+00:00,-5.5674138,132.0968,10,4.4160287,"Aru Islands Region, Indonesia"
2008-11-29 23:01:13.951867+00:00,0.64979434,127.59706,10,4.1460527,"Halmahera, Indonesia"
2008-11-29 23:10:21.440124+00:00,1.0485268,128.36594,10,4.4667575,"Halmahera, Indonesia"
2008-11-30 00:21:26.793493+00:00,2.8983686,128.84889,206,4.3853125,"Halmahera, Indonesia"
2008-11-30 00:43:40.733957+00:00,4.0364008,122.96883,612,4.5731713,Celebes Sea
2008-11-30 21:19:13.677536+00:00,1.8442833,98.734604,10,4.6560538,"Northern Sumatra, Indonesia"
2008-12-01 00:45:53.562998+00:00,3.9044929,112.08067,93,5.94553,South China Sea
